ville,code_commune
"Amiens","80021"
"Angers","49007"
"Annecy","74010"
"Aix-en-Provence","13001"
"Argenteuil","95018"
"Besançon","25056"
"Bordeaux","33063" 
"Boulogne-Billancourt","92012"
"Brest","29019"
"Caen","14118"
"Clermont-Ferrand","63113"
"Dijon","21231"
"Grenoble","38185"
"Saint-Denis (La Réunion)","97411"
"Le Havre","76351"
"Le Mans","72181"
"Lille","59350"
"Lyon","69381"
"Lyon","69382"
"Lyon","69383"
"Lyon","69384"
"Lyon","69385"
"Lyon","69386"
"Lyon","69387"
"Lyon","69388"
"Lyon","69389"
"Lyon","69123"
"Marseille","13210"
"Marseille","13211"
"Marseille","13212"
"Marseille","13213"
"Marseille","13214"
"Marseille","13215"
"Marseille","13216"
"Marseille","13201"
"Marseille","13202"
"Marseille","13203"
"Marseille","13204"
"Marseille","13205"
"Marseille","13206"
"Marseille","13207"
"Marseille","13208"
"Marseille","13209"
"Marseille","13055"
"Metz","57463"
"Montreuil","93048"
"Montpellier","34172"
"Mulhouse","68224"
"Nancy","54395"
"Nantes","44109"
"Nice","06088"
"Orléans","45234"
"Paris","75101"          
"Paris","75102"
"Paris","75103"
"Paris","75104"
"Paris","75105"
"Paris","75106"
"Paris","75107"
"Paris","75108"
"Paris","75109"
"Paris","75110"
"Paris","75111"
"Paris","75112"
"Paris","75113"
"Paris","75114"
"Paris","75115"
"Paris","75116"
"Paris","75117"
"Paris","75118"
"Paris","75119"
"Paris","75120"
"Paris","75056"          
"Reims","51454"
"Rennes","35238"
"Roubaix","59512"
"Rouen","76540"
"Saint-Denis (Seine-Saint-Denis)","93066"
"Saint-Étienne","42218"
"Strasbourg","67482"
"Toulon","83137"
"Toulouse","31555"
"Tours","37261"
"Villeurbanne","69266"